Explanatory variables,Median,MAD,95%CI,PD,Rhat,ess_bulk,ess_tail
Presence of TY (vs. absent),0.51,0.23,"[0.05,0.97]",98.64,1.00,24411.87,16524.61
Presence of IT (vs. absent),0.62,0.29,"[0.04,1.19]",98.32,1.00,23063.56,15653.37
Study period (MS18),-0.11,3.99,"[-8.26,8.38]",51.21,1.00,17879.80,13625.49
Study period (MS19),-0.95,3.69,"[-8.72,6.53]",60.13,1.00,27580.92,13980.61
Study period (MS20),-1.16,3.61,"[-8.90,6.26]",62.71,1.00,28188.61,13354.61
Study period (MS21),0.82,3.68,"[-7.04,8.14]",58.93,1.00,24615.02,14666.53
Study period (NMS19),0.91,3.77,"[-6.88,8.41]",59.51,1.00,30029.41,13536.41
Study period (NMS20),0.47,3.82,"[-7.41,8.93]",54.76,1.00,28789.24,13879.44
