Explanatory variables,Median,MAD,95%CI,PD,Rhat,ess_bulk,ess_tail
Presence of TY (vs. absent),0.47,0.24,"[0.01,0.95]",97.47,1.00,18614.30,14731.37
Presence of IT (vs. absent),0.50,0.27,"[-0.02,1.04]",97.05,1.00,18855.80,14829.51
Study period (MS18),-0.07,3.98,"[-8.53,8.50]",50.70,1.00,12973.82,12044.69
Study period (MS19),-0.98,3.70,"[-8.76,6.76]",60.42,1.00,20417.11,12940.01
Study period (MS20),-1.15,3.61,"[-8.68,6.38]",62.32,1.00,19516.89,14109.39
Study period (MS21),0.88,3.72,"[-6.71,8.79]",59.47,1.00,17201.72,13174.02
Study period (NMS19),0.90,3.83,"[-6.81,8.92]",59.55,1.00,22897.28,14097.42
Study period (NMS20),0.49,3.93,"[-7.44,8.82]",54.85,1.00,20345.79,13050.37
